"","objectid_well","year_obs","lat","lon","district","season","well.level","time"
"306",10796,2001,25.71666667,71.25555556,"Barmer","prm",21.29,30
"307",10796,2001,25.71666667,71.25555556,"Barmer","mo",17.1,31
"308",10796,2001,25.71666667,71.25555556,"Barmer","pomk",16.07,32
"309",10796,2002,25.71666667,71.25555556,"Barmer","pomr",15.21,33
"310",10796,2002,25.71666667,71.25555556,"Barmer","prm",18.59,34
"311",10796,2002,25.71666667,71.25555556,"Barmer","mo",19.59,35
"312",10796,2002,25.71666667,71.25555556,"Barmer","pomk",19.79,36
"313",10796,2003,25.71666667,71.25555556,"Barmer","pomr",20.12,37
"314",10796,2003,25.71666667,71.25555556,"Barmer","prm",20.89,38
"315",10796,2003,25.71666667,71.25555556,"Barmer","mo",NA,39
"316",10796,2003,25.71666667,71.25555556,"Barmer","pomk",NA,40
"317",10796,2005,25.71666667,71.25555556,"Barmer","pomr",10.64,45
"318",10796,2005,25.71666667,71.25555556,"Barmer","prm",NA,46
"319",10796,2005,25.71666667,71.25555556,"Barmer","mo",NA,47
"320",10796,2005,25.71666667,71.25555556,"Barmer","pomk",NA,48
"321",10796,2006,25.71666667,71.25555556,"Barmer","pomr",NA,49
"322",10796,2006,25.71666667,71.25555556,"Barmer","prm",NA,50
"323",10796,2006,25.71666667,71.25555556,"Barmer","mo",8.39,51
"324",10796,2006,25.71666667,71.25555556,"Barmer","pomk",8.09,52
"325",10796,2007,25.71666667,71.25555556,"Barmer","pomr",6.39,53
"326",10796,2007,25.71666667,71.25555556,"Barmer","prm",8.6,54
"327",10796,2007,25.71666667,71.25555556,"Barmer","mo",9.49,55
"328",10796,2007,25.71666667,71.25555556,"Barmer","pomk",10.44,56
"329",10796,2008,25.71666667,71.25555556,"Barmer","pomr",11.19,57
"330",10796,2008,25.71666667,71.25555556,"Barmer","prm",12.89,58
"331",10796,2008,25.71666667,71.25555556,"Barmer","mo",14.09,59
"332",10796,2008,25.71666667,71.25555556,"Barmer","pomk",14.69,60
"333",10796,2009,25.71666667,71.25555556,"Barmer","pomr",14.69,61
"334",10796,2009,25.71666667,71.25555556,"Barmer","prm",16.74,62
"335",10796,2009,25.71666667,71.25555556,"Barmer","mo",14.59,63
"336",10796,2009,25.71666667,71.25555556,"Barmer","pomk",17.79,64
"337",10796,2010,25.71666667,71.25555556,"Barmer","pomr",19.14,65
"338",10796,2010,25.71666667,71.25555556,"Barmer","prm",19.19,66
"339",10796,2010,25.71666667,71.25555556,"Barmer","mo",13.19,67
"340",10796,2010,25.71666667,71.25555556,"Barmer","pomk",13.09,68
"341",10796,2011,25.71666667,71.25555556,"Barmer","pomr",11.36,69
"342",10796,2011,25.71666667,71.25555556,"Barmer","prm",15.59,70
"343",10796,2011,25.71666667,71.25555556,"Barmer","mo",16.09,71
"344",10796,2011,25.71666667,71.25555556,"Barmer","pomk",NA,72
"345",10796,2012,25.71666667,71.25555556,"Barmer","pomr",21.33,73
"346",10796,2012,25.71666667,71.25555556,"Barmer","prm",17.39,74
"347",10796,2012,25.71666667,71.25555556,"Barmer","mo",NA,75
"348",10796,2012,25.71666667,71.25555556,"Barmer","pomk",14.59,76
"349",10796,2013,25.71666667,71.25555556,"Barmer","pomr",15.69,77
"350",10796,2013,25.71666667,71.25555556,"Barmer","prm",17.24,78
"351",10796,2013,25.71666667,71.25555556,"Barmer","mo",16.29,79
"352",10796,2013,25.71666667,71.25555556,"Barmer","pomk",15.79,80
"353",10796,2014,25.71666667,71.25555556,"Barmer","pomr",15.87,81
"354",10796,2014,25.71666667,71.25555556,"Barmer","prm",14.39,82
"355",10796,2014,25.71666667,71.25555556,"Barmer","mo",9.49,83
"356",10796,2014,25.71666667,71.25555556,"Barmer","pomk",17.33,84
"357",10796,2015,25.71666667,71.25555556,"Barmer","pomr",19.09,85
"358",10796,2015,25.71666667,71.25555556,"Barmer","prm",18.33,86
"359",10796,2015,25.71666667,71.25555556,"Barmer","mo",18.49,87
"360",10796,2015,25.71666667,71.25555556,"Barmer","pomk",21.09,88
"361",10796,2016,25.71666667,71.25555556,"Barmer","pomr",NA,89
"362",10796,2016,25.71666667,71.25555556,"Barmer","prm",17.39,90
"363",10796,2016,25.71666667,71.25555556,"Barmer","mo",21.59,91
"364",10796,2016,25.71666667,71.25555556,"Barmer","pomk",NA,92
"365",10797,1994,25.90833333,71.24166667,"Barmer","pomr",19.03,1
"366",10797,1994,25.90833333,71.24166667,"Barmer","prm",19.58,2
"367",10797,1994,25.90833333,71.24166667,"Barmer","mo",19.02,3
"368",10797,1994,25.90833333,71.24166667,"Barmer","pomk",17.5,4
"369",10797,1995,25.90833333,71.24166667,"Barmer","pomr",17.4,5
"370",10797,1995,25.90833333,71.24166667,"Barmer","prm",17.6,6
"371",10797,1995,25.90833333,71.24166667,"Barmer","mo",17.54,7
"372",10797,1995,25.90833333,71.24166667,"Barmer","pomk",18.02,8
"373",10797,1996,25.90833333,71.24166667,"Barmer","pomr",17.92,9
"374",10797,1996,25.90833333,71.24166667,"Barmer","prm",18.29,10
"375",10797,1996,25.90833333,71.24166667,"Barmer","mo",17.8,11
"376",10797,1996,25.90833333,71.24166667,"Barmer","pomk",18.6,12
"377",10797,1997,25.90833333,71.24166667,"Barmer","pomr",18.74,13
"378",10797,1997,25.90833333,71.24166667,"Barmer","prm",19.18,14
"379",10797,1997,25.90833333,71.24166667,"Barmer","mo",18.5,15
"380",10797,1997,25.90833333,71.24166667,"Barmer","pomk",18.6,16
"381",10797,1998,25.90833333,71.24166667,"Barmer","pomr",18.66,17
"382",10797,1998,25.90833333,71.24166667,"Barmer","prm",19.2,18
"383",10797,1998,25.90833333,71.24166667,"Barmer","mo",19.1,19
"384",10797,1998,25.90833333,71.24166667,"Barmer","pomk",18.81,20
"385",10797,1999,25.90833333,71.24166667,"Barmer","pomr",17.9,21
